#data from Meredith et al 1991 Repeated measures experiments in forestry: focus on analysis of response curves.  Can. J. For. Res.,,,,
conc.AL,ht.wk.1,ht.wk.2,ht.wk.3,ht.wk.4
0,60,62,78,104
0,41,50,60,60
0,85,97,115,120
0,88,87,90,80
0,66,65,80,95
0,106,100,133,172
0,61,65,65,54
0,52,62,65,50
0,194,210,250,300
0,86,90,105,163
0,140,183,283,310
0,41,45,83,135
0,99,190,280,262
0,144,208,220,221
0,117,155,208,323
0,102,100,105,100
100,70,86,100,90
100,167,190,230,320
100,116,120,157,291
100,85,100,125,180
100,90,85,90,150
100,44,45,70,82
100,71,68,70,65
100,40,35,37,34
100,29,30,32,32
100,49,50,60,65
100,116,125,130,115
100,135,195,225,265
100,73,80,85,117
100,39,40,40,40
100,21,25,32,30
100,69,80,80,86
100,84,90,95,85
300,67,65,65,62
300,119,145,167,234
300,72,70,80,115
300,81,80,83,85
300,31,35,43,95
300,50,48,55,81
300,62,75,105,177
300,50,47,50,62
300,111,120,130,140
300,68,68,72,62
300,80,78,83,74
300,72,90,105,115
300,45,40,45,103
300,67,80,85,82
300,105,105,108,100
300,50,65,75,85
300,74,70,80,80
600,76,95,95,92
600,111,115,115,95
600,190,200,225,300
600,110,135,140,123
600,105,135,143,142
600,67,60,60,55
600,51,45,55,65
600,64,53,62,65
600,43,43,45,30
600,34,65,60,80
600,68,95,100,120
600,55,60,62,55
600,42,38,40,45
600,126,130,127,110
600,72,68,75,70
600,175,175,183,210
600,52,52,60,54
