year,agebis,age,late.harem.size,early.harem.size,age.last.repro,Density,early.numb.points,late.num.points
1,10,10,2.5,-3.263353958,11,134,-0.486489093,4.5
2,11,11,1.333333333,-3.263353958,11,151,-0.486489093,4.5
3,10,10,NA,-0.183665432,9,142,-0.089587072,4
5,10,10,6.782608696,3.725842075,10,152,0.670300894,6
5,10,10,2,-2.607942702,10,152,0.420300894,6.5
6,10,10,NA,-2.433824591,9,161,-1.096145649,3.125
6,10,10,5.166666667,-1.484538877,11,161,-0.846145649,4
6,10,10,1,-1.816703379,10,161,0.511446296,5.5
6,10,10,6.7,-0.134118709,10,161,0.303854351,5
6,10,10,6.235294118,-3.187851918,11,161,1.553854351,6.5
7,11,11,NA,-2.433824591,9,162,-1.096145649,NA
7,11,11,1.833333333,-1.484538877,11,162,-0.846145649,4.125
7,10,10,NA,0.340521814,9,162,-0.263075011,NA
7,11,11,5.210526316,-3.187851918,11,162,1.553854351,6.5
8,10,10,2,-2.318656988,11,165,-0.054741678,5.5
8,11,11,1,NA,11,165,1.216091656,6
8,10,10,2,-2.908100656,10,165,0.361924989,4.625
